u_g g_r r_i i_z classe
0.247 0.381 -0.0849999999999973 0.0569999999999986 1
0.448999999999998 0.443000000000001 0.125 -0.0380000000000003 1
0.18 0.109000000000002 0.308 -0.213000000000001 1
0.170999999999999 0.243000000000002 0.114999999999998 -0.231999999999999 1
0.219999999999999 0.224 0.0259999999999998 0.0410000000000004 1
0.251999999999999 0.192 0.154 0.236999999999998 1
0.269000000000002 0.113 0.0899999999999999 0.119 1
0.273 0.119 0.288999999999998 0.150000000000002 1
0.263999999999999 0.0739999999999981 0.342000000000002 0.00199999999999889 1
-0.108000000000001 0.426000000000002 0.0179999999999971 -0.0579999999999998 1
-0.00900000000000034 0.416 0.0890000000000022 -0.0560000000000009 1
0.689999999999998 0.0810000000000031 0.0209999999999972 0.0950000000000024 1
-0.141999999999999 -0.0750000000000028 0.539000000000001 0.0180000000000007 1
0.326000000000001 0.193000000000001 0.192999999999998 0.0150000000000006 1
0.186 0.306999999999999 0.179000000000002 0.0549999999999997 1
0.169 0.431999999999999 0.0579999999999998 0.0410000000000004 1
0.349999999999998 0.391000000000002 0.556000000000001 0.177999999999997 1
0.341999999999999 0.231000000000002 0.0279999999999987 0.192 1
0.00199999999999889 0.300999999999998 0.0380000000000003 0.176000000000002 1
0.112000000000002 0.186999999999998 -0.0609999999999999 0.00700000000000145 1
0.132000000000001 0.137 -0.0350000000000001 0.146000000000001 1
0.375999999999998 -0.0619999999999976 0.298999999999999 -0.0560000000000009 1
0.0640000000000001 0.0869999999999997 0.0579999999999998 0.00800000000000267 1
0.347999999999999 0.436999999999998 0 0.190000000000001 1
0.131 0.0130000000000017 0.0760000000000005 0.0129999999999981 1
0.419999999999998 0.347000000000001 0.0500000000000007 0.0670000000000002 1
0.581999999999997 0.551000000000002 0.143000000000001 0.347999999999999 1
0.393999999999998 0.0800000000000018 0.0679999999999978 0.473000000000003 1
3.968 1.158 0.148999999999997 0.231000000000002 1
0.382999999999999 0.118000000000002 -0.0790000000000006 0.138999999999999 1
